RG,County,CityID,Juris,Pop2050,Emp2050,county_name
1,33,13,Bellevue,202581.5283,227162.7239,King
1,33,9,Seattle,916555.0956,832542.8419,King
2,33,2,Auburn,103416.0464,81422.20805,King
2,33,28,Bothell,36406.75327,21927.67567,King
2,33,23,Burien,67302.06898,24386.4689,King
2,33,20,Federal Way,121649.9,56158.53049,King
2,33,7,Kent,148468.8319,94037.0214,King
2,33,14,Kirkland,107720.4894,85355.65069,King
2,33,15,Redmond,103896.6616,122335.3062,King
2,33,12,Renton,142237.7749,117700.7814,King
2,33,4,SeaTac,56822.92402,80628.06968,King
2,33,8,Tukwila,40835.66428,80491.92013,King
3,33,16,Covington,23302.98196,6042.178419,King
3,33,18,Des Moines,45580.79948,17087.60275,King
3,33,22,Issaquah,47235.48824,57963.41592,King
3,33,26,Kenmore,39540.97138,12348.60858,King
3,33,42,Maple Valley,33532.0855,7432.334179,King
3,33,19,Mercer Island,31612.89208,10264.68596,King
3,33,21,Sammamish,68781.82934,10505.009,King
3,33,5,Shoreline,76055.48527,29103.01792,King
3,33,30,Woodinville,27991.0357,26292.07701,King
4,33,31,Algona,3653.492086,2399.835517,King
4,33,51,Beaux Arts,314.6042146,39.58503143,King
4,33,35,Black Diamond,13972.34182,4227.876243,King
4,33,55,Carnation,3783.698789,2107.400558,King
4,33,41,Clyde Hill,2876.7218,660.5624669,King
4,33,27,Duvall,11469.08109,4277.423033,King
4,33,17,Enumclaw,17809.6078,7889.709833,King
4,33,48,Hunts Point,445.2019514,48,King
4,33,33,Lake Forest Park,15398.72019,2606.256966,King
4,33,50,Medina,3123.209485,477.9571046,King
4,33,54,Milton,1046.758395,570.8653088,King
4,33,43,Newcastle,13383.19152,3784.314121,King
4,33,1,Normandy Park,7130.351879,1288.716982,King
4,33,32,North Bend,11450.23894,6638.585629,King
4,33,39,Pacific,6130.997282,2404.087959,King
4,33,52,Skykomish,255.7579002,97,King
4,33,37,Snoqualmie,12514.14109,5778.110027,King
4,33,47,Yarrow Point,1133.269966,83.89705103,King
5,33,60,Auburn PAA,187.741,2.415946,King
5,33,38,Bear Creek UPD,2004.555656,2549.381559,King
5,33,58,Bellevue PAA,65.82461714,2,King
5,33,45,Black Diamond PAA,72.25,151.831892,King
5,33,25,Federal Way PAA,22786.61795,1996.410268,King
5,33,44,Issaquah PAA,618.7109017,44.062434,King
5,33,10,Kent PAA,553.5521269,283.9168352,King
5,33,57,Milton PAA,804.3040514,23,King
5,33,36,Newcastle PAA,3.75,1,King
5,33,11,North Highline,18864.32687,6912.612893,King
5,33,61,Pacific PAA,867.489873,90.150812,King
5,33,34,Redmond PAA,3870.706191,319.230542,King
5,33,6,Renton PAA,44936.87845,5366.887452,King
5,33,24,Sammamish PAA,781.8134037,50,King
5,33,62,Seattle PAA,26.24064,3,King
5,33,40,Tukwila PAA,74.04925116,1448.568484,King
5,33,46,UUU,1999.62465,299.4102855,King
6,33,3,King-Rural,148358.4336,29299.66696,King
1,35,65,Bremerton,95069.627,52054.19462,Kitsap
2,35,70,Silverdale,46235.63178,28213.9943,Kitsap
3,35,69,Bainbridge Island,44114.7822,13189.55294,Kitsap
4,35,64,Port Orchard,46071.54557,13186.86709,Kitsap
4,35,71,Poulsbo,13083.59715,15118.82176,Kitsap
5,35,66,Bremerton UGA,14954.47672,3895.975118,Kitsap
5,35,68,Central Kitsap UGA,32231.01026,6084.718513,Kitsap
5,35,73,Kingston UGA,5748.988724,2254.859257,Kitsap
5,35,67,Port Orchard UGA,22273.68565,5722.64698,Kitsap
5,35,72,Poulsbo PUTA,5854.601724,157.0692097,Kitsap
6,35,63,Kitsap-Rural,128030.2038,20043.48841,Kitsap
1,53,59,Tacoma,381834.2262,227716.527,Pierce
2,53,138,Auburn,6174.972931,566.5658244,Pierce
2,53,79,Lakewood,114054.8119,50644.67806,Pierce
2,53,85,Puyallup,91497.00763,45150.48688,Pierce
3,53,83,Fife,12916.08134,22688.65926,Pierce
3,53,80,University Place,63292.1406,14461.82957,Pierce
3,53,89,Bonney Lake,33812.009,5744.987846,Pierce
4,53,92,Buckley,12589.4272,2265.528953,Pierce
4,53,91,Carbonado,1044.484049,24.28352967,Pierce
4,53,76,DuPont,15413.86316,10071.69913,Pierce
4,53,84,Eatonville,4284.641674,2853.11631,Pierce
4,53,87,Edgewood,20878.98777,3378.089486,Pierce
4,53,81,Fircrest,7688.48141,1385.034594,Pierce
4,53,77,Gig Harbor,18019.00249,8806.151944,Pierce
4,53,141,Milton,5467.000702,2867.683912,Pierce
4,53,86,Orting,9448.77586,2307.047121,Pierce
4,53,142,Pacific,154.006,6471.662794,Pierce
4,53,78,Roy,1290.381825,405.0997732,Pierce
4,53,82,Ruston,2735.62458,487.8240141,Pierce
4,53,90,South Prairie,1238.028209,363.2454233,Pierce
4,53,74,Steilacoom,7730.097679,1029.670593,Pierce
4,53,88,Sumner,16881.24654,18171.16213,Pierce
4,53,93,Wilkeson,699.1514687,184.0230629,Pierce
5,53,53,UU,254310.6763,43388.56034,Pierce
5,53,75,JBLM,15812.39168,23300.67041,Pierce
6,53,29,Pierce-Rural,178658.0602,26867.95661,Pierce
1,61,95,Everett,229882.5584,187818.8635,Snohomish
2,61,139,Bothell,30269.80394,21263.40782,Snohomish
2,61,94,Lynnwood,77653.45051,58054.56626,Snohomish
3,61,111,Arlington,31255.24414,30165.79138,Snohomish
3,61,98,Edmonds,55035.67324,16625.37871,Snohomish
3,61,113,Lake Stevens,51814.58722,9677.960742,Snohomish
3,61,106,Marysville,120766.6547,38207.99356,Snohomish
3,61,100,Mill Creek,18906.63949,6966.004408,Snohomish
3,61,110,Monroe,26828.03164,13891.79846,Snohomish
3,61,101,Mountlake Terrace,33347.66241,11715.93416,Snohomish
3,61,120,Mukilteo,22044.04322,11449.23301,Snohomish
4,61,96,Brier,8444.412792,799.0783547,Snohomish
4,61,116,Darrington,2223.078096,1186.3008,Snohomish
4,61,128,Gold Bar,2887.455851,1139.810208,Snohomish
4,61,129,Granite Falls,13181.87907,4128.841623,Snohomish
4,61,131,Index,251.0791786,68.64803889,Snohomish
4,61,112,Snohomish,16548.16287,9104.571478,Snohomish
4,61,123,Stanwood,13649.83059,5853.650078,Snohomish
4,61,114,Sultan,9801.768244,3561.208554,Snohomish
4,61,115,Woodway,1167.5717,125.1462381,Snohomish
5,61,124,Arlington UGA,2405.194129,143.6125833,Snohomish
5,61,105,Bothell MUGA,39651.98504,2387.24552,Snohomish
5,61,97,Brier MUGA,2522.506626,68.21550268,Snohomish
5,61,137,Darrington UGA,1226.742884,165.7992753,Snohomish
5,61,118,Edmonds MUGA,4973.517872,437.9461043,Snohomish
5,61,109,Everett MUGA,51312.23861,11188.36407,Snohomish
5,61,117,Gold Bar UGA,975.7044307,38,Snohomish
5,61,133,Granite Falls UGA,2040.685709,8.560826385,Snohomish
5,61,122,Lake Stevens UGA,10554.23067,854.2511038,Snohomish
5,61,107,Lake Stickney Gap,13544.28309,998.2575368,Snohomish
5,61,104,Larch Way Overlap,7889.388784,2593.432077,Snohomish
5,61,102,Lynnwood MUGA,52460.35222,8373.313065,Snohomish
5,61,132,Maltby UGA,260.174,9683.003976,Snohomish
5,61,121,Marysville UGA,189.094,896.1901116,Snohomish
5,61,99,Meadowdale Gap,5500.405587,276.1568632,Snohomish
5,61,103,Mill Creek MUGA,65670.14952,5614.722831,Snohomish
5,61,125,Monroe UGA,5710.529504,833.1687835,Snohomish
5,61,119,Mountlake Terrace MUGA,53.02646579,3.224330554,Snohomish
5,61,108,Mukilteo MUGA,19378.8475,8265.117331,Snohomish
5,61,134,PAINE FIELD AREA,97.002,11092.48844,Snohomish
5,61,127,Silver Firs Gap,20005.42844,1940.282037,Snohomish
5,61,126,Snohomish UGA,4349.733064,784.2383684,Snohomish
5,61,130,Stanwood UGA,3160.384878,1807.063446,Snohomish
5,61,135,Sultan UGA,2758.421125,13.89257847,Snohomish
5,61,136,Woodway MUGA,10850.30868,327.7835056,Snohomish
6,61,49,Snohomish-Rural,176133.6158,29166.08691,Snohomish
